GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
48039660100,16.578759252928027,17129,2628.210255149084,1608,NA,0.611823196736133,26420
48039660200,18.871405996147708,0,11280.44813407017,2085,NA,0.1848330824466721,26420
48039660301,15.397853923673189,0,1963.3583356302026,1648,1167,0.8393781054088741,26420
48039660302,16.330844476555818,0,1846.7139793631432,1103,NA,0.5972771161782076,26420
48039660303,17.00921190462842,19724,2385.0452016206827,1208,1701,0.506489352562015,26420
48039660401,13.409198541225456,0,2807.9833331657974,1120,NA,0.3988627663032748,26420
48039660402,14.249777465020793,0,1659.1877925841457,1535,NA,0.9251514547423676,26420
48039660403,14.661976944620111,0,2317.3780881519797,1870,1191,0.8069464407041379,26420
48039660501,13.041539001608095,0,4312.962975588942,827,NA,0.1917475305679089,26420
48039660502,13.331243251591085,1132,3447.013867532028,1365,NA,0.39599492559549937,26420
48039660503,13.430896241858681,13325,4194.915043372689,1099,NA,0.2619838515529053,26420
48039660504,12.114415488559821,0,3319.335029349851,545,NA,0.16418951241169158,26420
48039660603,12.692309862497506,0,1853.0243901152346,1617,1531,0.8726274778819523,26420
48039660604,14.088186765961956,0,1091.607253897519,1127,NA,1.0324226006891335,26420
48039660605,13.615295643935285,0,1601.8888319005482,2241,NA,1.3989734839097314,26420
48039660606,13.683580452700458,0,1195.2961589455,1100,NA,0.9202740189263461,26420
48039660607,13.448868609224496,0,1587.0703212808583,2236,1427,1.4088852711929094,26420
48039660608,12.367376009219418,0,2100.9723968369954,1330,NA,0.6330402065264203,26420
48039660609,12.814428303695848,0,1587.3058051233565,1738,NA,1.0949370905028173,26420
48039660610,13.5662926930396,31389,3281.063342578233,1526,NA,0.46509312398732344,26420
48039660611,15.072697081825623,992,2332.5789302325497,1734,NA,0.7433832045405325,26420
48039660612,14.656971918839337,0,2114.860554777268,1190,NA,0.5626848528201557,26420
48039660613,16.639329173425825,0,4430.226411337465,2101,NA,0.4742421278116388,26420
48039660614,18.081116485575023,286,2752.446273659037,1733,NA,0.6296217356120055,26420
48039660615,17.74807676226972,0,7736.186131648306,1773,NA,0.22918269672271144,26420
48039660616,15.835966761473173,86249,3147.2819429696574,1757,NA,0.5582594860701169,26420
48039660703,14.62499141333308,0,2027.6638216945369,1598,1264,0.7880990837349641,26420
48039660704,14.584905552660445,0,2341.472417393363,1706,NA,0.7286013652465739,26420
48039660705,14.612753509301255,0,2086.68042349102,2090,1188,1.001590840874151,26420
48039660706,15.594355098989423,45478,1717.3455774402921,1602,1200,0.9328349640541101,26420
48039660707,15.576501926241576,0,2597.948124185093,1442,NA,0.5550534233443621,26420
48039660708,17.76742544105294,3653,18723.476553704066,2970,NA,0.15862438748921576,26420
