GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
48141000106,11.768664544914346,0,1632.7223159721138,2109,NA,1.2917077076540802,21340
48141000107,12.081973679472377,0,1379.431081022181,1860,NA,1.348381971081665,21340
48141000108,12.3268030584678,0,1554.7548087826087,1433,897,0.9216887395396164,21340
48141000109,11.37520184596633,0,807.2659066899585,1218,NA,1.5087965314851202,21340
48141000110,10.905939126597355,0,802.7649698988531,1338,286,1.6667393946805944,21340
48141000111,10.712157892096416,0,694.7569901919339,1303,988,1.8754759122898965,21340
48141000112,10.830104944271007,0,977.9744521452702,1703,NA,1.7413542820718113,21340
48141000113,10.129690965154394,0,1118.9619649600284,1221,NA,1.0911899047825246,21340
48141000114,9.355988012867552,0,3188.1809842194434,1322,421,0.41465650994830927,21340
48141000204,10.515258257885506,0,1646.056122215986,1922,698,1.1676394103820271,21340
48141000205,9.985351465317548,0,1227.154770545058,2026,965,1.6509734946473977,21340
48141000206,9.160829755306604,0,1079.9651307255808,1732,NA,1.6037554831389285,21340
48141000207,11.474647296317388,0,1193.3246640702903,1780,NA,1.4916309480511607,21340
48141000208,12.639012463013493,0,2622.473318628431,1603,NA,0.6112550273107749,21340
48141000301,7.733630409630678,0,1654.0258051095755,2561,NA,1.548343437018106,21340
48141000302,8.352291752496594,0,1326.300045567798,1975,NA,1.4891049778668215,21340
48141000401,6.433199888048466,3207,10154.03927646319,2422,964,0.2385257663533108,21340
48141000403,7.5614226877704684,0,1094.9156095858223,1498,779,1.368141970837966,21340
48141000404,7.950303958765761,0,751.4615363614886,1645,583,2.189067464404029,21340
48141000600,5.68882510089536,0,1175.1528624105094,1794,655,1.5266099053021003,21340
48141000800,4.651822593052632,0,1151.4435229829553,2367,610,2.0556805025642917,21340
48141000901,4.181759550832199,0,1087.4659329363308,1863,476,1.7131571146965534,21340
48141000902,4.103986973673227,25932,6337.272854073162,1963,786,0.30975469183693405,21340
48141001001,3.3251255398708923,0,660.06210004547,1245,571,1.8861861632628736,21340
48141001002,3.7514811269882977,0,786.9696939848247,1587,670,2.0165960800399034,21340
48141001107,7.48821670646793,0,1994.708665167245,2479,808,1.2427880037269252,21340
48141001109,6.5497365894278765,0,2172.781376675509,2163,NA,0.9954982232540693,21340
48141001110,5.512627925220545,0,1851.6970688996803,2153,847,1.1627171831510004,21340
48141001111,4.865129948434347,0,7189.596526222767,3015,861,0.4193559386821398,21340
48141001112,7.067415652712392,0,1233.3164371099012,1765,NA,1.43110068664618,21340
48141001114,4.842775617653887,1571,1966.897024508429,2248,954,1.1429169763281455,21340
48141001115,3.8000651980206674,55654,1954.638681982259,2091,898,1.0697629281947152,21340
48141001116,6.566890862782404,0,989.977782173933,1233,1109,1.2454824968823084,21340
48141001117,5.680920321607842,0,2122.845865677171,2538,1193,1.195564897591092,21340
48141001118,5.940272812450721,0,902.4879340135674,1398,1012,1.54905118097566,21340
48141001119,6.5943234599730625,0,966.0355083116266,1949,774,2.0175241833567115,21340
48141001202,7.857020364470518,90060,1952.6548082108327,2175,1121,1.1138681506092194,21340
48141001204,7.09750037030053,0,3401.589293252294,2250,324,0.6614555156506717,21340
48141001301,8.962490454112624,94129,2530.086509324169,1352,NA,0.5343690798782778,21340
48141001302,7.274628509184399,7332,5408.287689228528,2604,NA,0.48148326228767074,21340
48141001400,2.9319844213662543,207829,4956.545447080647,1167,789,0.23544624223860403,21340
48141001501,2.5165902393140036,0,3639.782839177269,2292,672,0.6297078977706484,21340
48141001502,1.3584230258433054,0,1664.9285865957,1116,625,0.6702990200209722,21340
48141001600,0.580679259669605,0,906.5012097976556,2371,739,2.6155508391756497,21340
48141001700,0.211521075992787,0,713.333589999395,358,510,0.5018689782999054,21340
48141001800,0.32892545640599935,0,659.4577251383222,443,539,0.6717640617631405,21340
48141001900,0.6867942751835564,0,367.8766800155576,1091,338,2.965667733964168,21340
48141002000,1.0179586647556862,55204,599.9554009297663,976,321,1.6267875886898722,21340
48141002100,1.0604234878514844,5060,1018.1501511703993,1316,NA,1.2925401999766064,21340
48141002201,1.5697644002588256,44370,1396.6715983944118,1230,696,0.8806651480662924,21340
48141002202,0.9313770185574481,0,731.2923347088963,2193,612,2.9988007475464133,21340
48141002300,2.2685103997184553,3413,1279.7626063649213,1891,813,1.4776177945777436,21340
48141002400,3.024230163392015,0,847.022175954227,1442,683,1.7024347660974646,21340
48141002500,3.7614300930232285,0,1762.4811297741448,2323,841,1.318028295881774,21340
48141002600,2.8650059309153337,0,1088.6220534567753,1133,765,1.0407652466733595,21340
48141002800,1.9642224000510553,0,1594.1940740536438,1934,396,1.2131521697871535,21340
48141002900,2.6525684220834704,8385,819.3022750309182,640,491,0.7811524751055381,21340
48141003000,3.1907417614511266,26379,1646.3265084492737,1472,NA,0.8941118255980235,21340
48141003100,3.77603538515929,0,904.2882784806538,1052,361,1.1633458323351542,21340
48141003200,4.163847496321745,0,1283.6086483011984,1101,650,0.8577380663936215,21340
48141003300,4.115818252676426,0,1352.0558611914844,2272,538,1.6804039427763175,21340
48141003402,5.927946498945569,0,3104.636365788486,2603,735,0.8384234716450971,21340
48141003403,6.367818797512905,0,1952.9716856805946,2365,805,1.2109750578262055,21340
48141003404,7.335848863425713,6239,2664.2637091252254,2663,896,0.9995256816654834,21340
48141003501,6.115121853702694,54106,5760.627187191908,1279,648,0.22202443561071084,21340
48141003502,7.894343594502483,0,1564.5247433831269,1646,608,1.0520766814084967,21340
48141003601,4.311815527275391,0,916.6268556523161,1365,NA,1.4891555834119652,21340
48141003602,4.894900901376512,199144,1840.885992818034,1182,496,0.6420821303499575,21340
48141003701,5.634206202269496,41597,1133.6920054555483,1615,594,1.42454916523033,21340
48141003702,6.41611432089638,10361,1321.5471917086509,1779,525,1.3461494308802553,21340
48141003801,7.365863484082537,49504,1990.6694033258673,1911,518,0.9599785865032329,21340
48141003803,8.231860570868477,11727,1595.9372180115977,988,581,0.6190719715346724,21340
48141003804,8.813677906454776,0,1100.4679409123316,1140,NA,1.0359229538798693,21340
48141003901,9.872022126476201,0,1302.3370008521938,1268,556,0.9736343198191212,21340
48141003902,10.919175834128492,0,1639.2145425468573,1091,NA,0.6655626653390391,21340
48141003904,9.485921874612231,25355,1004.7181832073647,1098,NA,1.0928437629095669,21340
48141003905,10.295288493807528,36641,1361.5396409994362,970,NA,0.7124287613748601,21340
48141004004,11.44613181710285,0,2057.693589407517,1894,NA,0.9204480247933076,21340
48141004005,11.868579247402167,45140,4645.586068140433,1941,NA,0.4178159593923866,21340
48141004006,12.929364571426763,0,5125.80771302595,1108,NA,0.2161610544196375,21340
48141004007,11.761758218766664,0,693.0707978870687,1076,686,1.5525109458952087,21340
48141004008,11.828309689195782,0,2414.0635924787493,1316,793,0.5451389118746194,21340
48141004103,10.24136675490475,0,3615.317163077662,2376,616,0.6572037508259301,21340
48141004104,9.656583107393976,0,2519.6026877769827,2340,NA,0.9287178535535521,21340
48141004105,8.416454128012731,13082,946.0266200794306,1278,254,1.35091336002014,21340
48141004106,8.941993159768142,0,1740.8316211396846,1761,NA,1.0115854851298667,21340
48141004107,9.544000445217526,0,532.3096161514804,458,NA,0.8604015146509508,21340
48141004201,7.812049578571515,0,1158.5187055974775,2068,NA,1.7850380749212675,21340
48141004202,7.384760153507287,95116,1281.780571113474,2259,NA,1.7623921370860085,21340
48141004303,8.311083608968115,0,1535.1704326383708,1975,797,1.2865021094796167,21340
48141004307,10.587041706276514,0,1767.5695473305557,2244,889,1.2695398624563123,21340
48141004309,10.637059151392773,0,3162.035771849761,2269,926,0.7175756897502321,21340
48141004310,8.919560110838274,12181,1194.606340042193,1947,856,1.6298256042498758,21340
48141004311,8.758954806131769,0,1097.9065426098734,1847,889,1.682292552524033,21340
48141004312,9.141665781937023,0,1951.542292203119,2215,NA,1.1349997429466212,21340
48141004313,9.754674567194593,54180,1798.2350455520716,1473,935,0.8191365214705723,21340
48141004314,11.357689445629566,0,1119.890308645181,1878,831,1.676949952600236,21340
48141004316,11.469591710784997,0,1553.4063990568516,2019,1059,1.2997242712697932,21340
48141004317,7.7117307577875325,0,660.6682751727516,2120,929,3.2088721067250616,21340
48141004318,8.398903207908154,0,1642.2332951868666,1389,NA,0.8457994391362942,21340
48141004319,12.189235970424566,0,1259.4049523569884,1604,NA,1.2736173515898113,21340
48141004320,12.085386222812044,0,821.5531465920899,880,NA,1.071141901957719,21340
48141010101,17.55748361678511,1020545,280968.14046718157,1139,NA,0.00405384040377717,21340
48141010102,5.827907021575534,0,3861.744547690041,593,NA,0.1535575418510558,21340
48141010103,4.94827640813897,0,3691.0215471350893,1061,NA,0.287454295904485,21340
48141010203,17.134655192113264,67742,6518.933193592139,1114,NA,0.17088685631799683,21340
48141010210,14.130156596293704,16370,6877.02624688419,3118,NA,0.4533936454601563,21340
48141010211,12.448620697322626,133971,49393.00769444899,1040,NA,0.02105561188809484,21340
48141010212,15.212039708509675,9518,9536.687838144815,2795,NA,0.293078692250004,21340
48141010213,9.334232124920549,0,9965.237157975203,2777,NA,0.2786687317097677,21340
48141010214,7.621910216623035,0,5279.429198019698,2080,NA,0.39398198592760814,21340
48141010217,8.605667003725605,0,1200.9639710635915,1714,NA,1.4271868609697393,21340
48141010218,12.163196325138298,285299,8468.096246383418,1607,NA,0.18977110713477338,21340
48141010220,13.50061420780067,0,53055.136463799405,2433,NA,0.045857953860133506,21340
48141010222,15.250916319352248,472078,8558.536308247394,752,NA,0.0878654915882449,21340
48141010223,14.258656087946438,13092,8700.508353967545,2002,NA,0.23010149735527372,21340
48141010224,16.846717279111346,5613,20627.648889183936,1758,NA,0.08522541805148737,21340
48141010225,9.046730712178066,3763,2226.1518836959017,1714,993,0.7699384810861976,21340
48141010226,10.412337748696444,0,4696.862922327903,2125,1225,0.4524296397704508,21340
48141010227,9.659474574271856,0,1571.0298817991682,1684,831,1.0719083191921575,21340
48141010228,11.163557841405297,0,2902.714953271076,2144,854,0.7386188566617338,21340
48141010229,10.525922244502462,82075,5180.3388830791455,2237,NA,0.4318250312362476,21340
48141010230,9.886410682762028,50101,1210.2832065512048,670,NA,0.5535894378880267,21340
48141010231,14.589204250144972,24869,6401.786330482555,1134,NA,0.17713805826357862,21340
48141010232,12.501268040606728,0,2176.0767227366578,1301,NA,0.5978649495243202,21340
48141010303,9.814629512616087,0,905.3445232899904,1499,NA,1.6557232759885554,21340
48141010307,9.51480188662163,0,1457.2230866978357,2154,717,1.4781539077047614,21340
48141010311,10.789498780684212,0,1377.2061317950156,2158,NA,1.5669404529787545,21340
48141010312,10.635204819944928,0,955.8752513090097,1325,NA,1.3861641445214714,21340
48141010316,10.272201762574287,0,934.0603737529119,1428,NA,1.5288091007035383,21340
48141010317,10.809944033826351,0,799.263285131292,1316,NA,1.646516266268662,21340
48141010322,11.879080904327417,0,1342.346605193977,1782,NA,1.3275259855426762,21340
48141010323,11.738684210748682,0,978.0543806993961,1372,1308,1.4027849852468302,21340
48141010326,11.610714472748972,0,1075.9812448646142,1938,NA,1.801146636383843,21340
48141010327,11.613257396640256,0,698.748053803228,1146,712,1.6400761243804782,21340
48141010328,12.629050171108814,0,1792.2570639871853,1563,1089,0.8720847201030619,21340
48141010329,13.69302662087984,0,1187.4668736015715,1663,NA,1.4004601197472926,21340
48141010333,20.078266784658986,0,6597.698124053549,1640,NA,0.24857154255375405,21340
48141010334,20.265328530790914,0,25143.05613823298,1055,NA,0.04195989517741036,21340
48141010336,12.718196961818258,0,1607.9125570961705,1858,NA,1.1555354747371822,21340
48141010337,12.648621819176215,0,1612.7919657077928,2548,1193,1.5798689813548148,21340
48141010338,12.30584465185434,0,4801.37810410692,2263,1128,0.4713230141288632,21340
48141010344,24.397356806441906,0,156000.10356268863,944,NA,0.00605127803406011,21340
48141010346,14.7365609185397,33122,5343.183461184195,1907,NA,0.35690333559637066,21340
48141010347,17.894485827454506,0,12436.865472578387,1449,NA,0.11650845650737718,21340
48141010348,12.978324116467597,0,862.1360302329044,1461,NA,1.6946281662828935,21340
48141010349,12.499536538214779,0,547.3558561011296,917,NA,1.6753269190027171,21340
48141010350,12.815860189134467,0,694.3213531749122,1648,NA,2.3735407134811806,21340
48141010351,12.950968460542033,0,845.4171229114867,922,NA,1.090585907255786,21340
48141010352,13.58423628959457,0,1237.3180837932196,1763,NA,1.424855922735089,21340
48141010353,14.662159438877678,0,1446.6458554564242,1495,NA,1.0334250047177715,21340
48141010354,15.320893863949877,0,2659.597429770403,2410,1107,0.9061521766503022,21340
48141010355,13.865185237691401,0,1562.948909808596,1518,NA,0.9712409602601146,21340
48141010356,18.57710817443428,0,1052.0270361391713,1431,NA,1.360231202091174,21340
48141010357,17.681683129417678,0,7829.58593199909,1999,NA,0.25531362927255147,21340
48141010358,15.421588182370558,0,16690.46512972059,2892,NA,0.17327258273049784,21340
48141010359,19.24524018647931,0,12739.64694657946,913,NA,0.07166603625896686,21340
48141010360,17.27646817558515,13207,1583.5384499080774,1319,NA,0.8329447258300336,21340
48141010361,17.946690346513083,0,919.0662440187032,1032,NA,1.122878798689726,21340
48141010362,15.374234927324192,0,5712.89626213814,2327,NA,0.407324042521487,21340
48141010363,16.29209993267733,0,2332.4577977961676,1613,NA,0.6915452024572748,21340
48141010364,27.017228714228274,171229,139196.1860514574,1092,NA,0.007845042532963616,21340
48141010365,18.781943056552453,0,2851.2554665811053,1285,NA,0.45067866245630483,21340
48141010366,14.530739869705744,0,7678.471411798445,2454,NA,0.31959486053816355,21340
48141010367,15.652034560485875,0,2471.1436679237745,3138,1068,1.2698573703877405,21340
48141010368,15.153219737767317,0,2810.3572895417938,3535,NA,1.257847183044955,21340
48141010369,17.527599679952868,0,32955.326495228765,4567,NA,0.13858154312812543,21340
48141010370,14.618155189881401,0,15410.329652150987,6426,NA,0.4169930264342563,21340
48141010371,19.210542942450786,0,8975.426659988767,1518,NA,0.1691284501011008,21340
48141010372,17.888099814788042,0,7937.30487772623,1482,NA,0.18671325126477226,21340
48141010401,13.910602757850516,20264,7702.091077235159,2498,NA,0.3243275072899701,21340
48141010404,18.1798042174204,128655,9103.936369221572,1812,NA,0.19903478303363123,21340
48141010406,17.616947971349592,62461,2854.6275195754592,1036,NA,0.3629195027707412,21340
48141010408,15.250391029318848,0,3432.546047431418,1227,NA,0.357460608844029,21340
48141010409,13.819074724550596,0,1634.2827558001675,1919,NA,1.1742154123509863,21340
48141010410,16.47940452597137,22327,3178.962416522011,1399,NA,0.4400806982583316,21340
48141010411,15.446255101347726,598495,4805.514189758193,1039,858,0.21620995360171458,21340
48141010412,17.968815784596462,0,2256.360103596139,1611,NA,0.7139817786320641,21340
48141010413,17.348146994295387,0,821.3689836194109,639,NA,0.7779694786917919,21340
48141010501,22.4535273003238,417653,40323.7933889109,1775,NA,0.04401867609231744,21340
48141010502,29.344478959702553,38025,170449.31157884205,677,NA,0.003971855290755168,21340
48141010601,5.039775951068183,0,980.9901357533697,228,NA,0.23241823917516066,21340
48141010602,6.502484205091201,0,3150.879198067832,1721,NA,0.5461967571004765,21340
48141980000,8.457125837877427,0,15902.236611441993,0,NA,0,21340
