GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
06073000100,2.8398137988903347,0,961.6806648425885,1259,NA,1.3091663855029028,41740
06073000201,2.6411562886561915,0,540.8961621856271,1226,1805,2.2666087979734195,41740
06073000202,2.0981020433439994,0,821.1792460457831,2411,1818,2.9360215952968445,41740
06073000301,1.974032150462665,0,251.65943173026426,1458,1579,5.793544036778744,41740
06073000302,1.9080895965748719,0,310.1001704567065,1971,1767,6.356010695180104,41740
06073000400,2.5257904005347602,0,729.8706682587152,2523,1782,3.4567768095397406,41740
06073000500,3.09045140054634,0,681.4744878142087,1737,1537,2.548884853446723,41740
06073000600,2.5832192261149047,0,590.9096221317099,2068,1593,3.499689161499314,41740
06073000700,2.045353164747761,0,485.6208976770098,2632,1757,5.4198656041992725,41740
06073000800,2.285211531187144,0,392.5803063519739,2917,1710,7.430326872751276,41740
06073000901,2.764331716837885,0,218.0321237872485,2008,1724,9.209652069249058,41740
06073000902,2.6501760692438925,0,168.47213723821943,1631,1503,9.681126070679376,41740
06073001000,3.2472026344278793,0,530.8826429200305,2651,1686,4.993570679611262,41740
06073001100,3.761859859300427,0,576.6682425482,1890,1756,3.277447690978105,41740
06073001201,3.4735964019499646,0,198.81348579963742,1425,1605,7.167521832176431,41740
06073001202,3.3009126084320815,0,228.36838188517936,1891,1599,8.280480793312142,41740
06073001301,3.1284945558426953,0,218.88956997415724,1673,1607,7.6431234261071435,41740
06073001302,2.9345281579030624,0,273.51916415607394,2137,1698,7.8129808804936145,41740
06073001400,2.5959373182577408,0,465.5749101335777,1949,1608,4.186222147239021,41740
06073001500,2.9583348045888886,0,494.1607986382024,2118,1771,4.2860542678349605,41740
06073001600,3.4396160390336314,0,429.4739919684963,2596,1584,6.044603511614802,41740
06073001700,3.7692521660796525,0,390.90919689162877,2557,1381,6.5411610172703964,41740
06073001801,4.254387017717183,0,188.36326367027155,1028,1440,5.4575397557323395,41740
06073001802,3.9881071243058153,0,270.6306002791135,1839,1637,6.795240442519644,41740
06073001900,4.43763058429071,0,1149.3197304995333,1586,1741,1.3799467266699326,41740
06073002001,5.01175386419472,0,1527.8944524417686,1566,NA,1.0249399083145658,41740
06073002002,5.243062561791388,0,806.4797489038583,1271,1830,1.5759850160248945,41740
06073002100,4.29125028512103,0,568.5409208970424,2820,1697,4.9600651357700185,41740
06073002201,3.831312204341323,0,220.48864706890149,1554,1146,7.047981928586027,41740
06073002202,4.165343568508357,0,302.75227421432714,1734,1247,5.7274549117753315,41740
06073002301,4.850517930233521,0,262.8066053873464,1467,1565,5.5820514778835655,41740
06073002302,4.588587466536979,0,329.0492224527868,2184,1205,6.637304849773254,41740
06073002401,3.4728429391810716,0,405.2503555787347,1739,1458,4.291174519801589,41740
06073002402,3.9414880721191388,0,314.8741216166614,1793,1490,5.694339029178333,41740
06073002501,3.4883376419386027,0,776.1752733684349,1543,1589,1.9879530473880076,41740
06073002502,3.2878515639007215,0,1189.1367752408235,2380,1174,2.001451851085846,41740
06073002601,4.316349638526146,0,519.3543225978899,1736,1225,3.3426120173916374,41740
06073002602,4.03595364695695,0,471.43631362269605,1503,1643,3.188129460054479,41740
06073002702,5.844728928584422,0,844.7722420012676,2086,1597,2.4693046199745634,41740
06073002703,5.974664818226385,0,1219.437993292084,2388,NA,1.9582791524751337,41740
06073002705,4.760740399589663,0,749.8488786717303,1547,1088,2.0630823676636414,41740
06073002707,4.94478083357829,0,234.5095728424324,1718,1242,7.325926951196695,41740
06073002708,5.2768755166670545,0,402.0417962893285,2090,1263,5.1984644862544,41740
06073002709,4.6527256930580165,0,380.05495414444846,1242,1131,3.2679484544436432,41740
06073002710,4.927379549450515,0,442.50679004927093,1158,1169,2.616908996743445,41740
06073002711,5.653438102256531,54358,871.8255050447594,1043,NA,1.1963403157681793,41740
06073002712,5.292096321891852,0,1369.1269881308951,1831,1297,1.3373485555928195,41740
06073002801,6.136473272987262,0,1777.3054587346087,980,2088,0.551396494723947,41740
06073002803,5.639322311431011,0,674.4319850867205,2464,1435,3.6534447571954516,41740
06073002804,6.140727710269011,0,917.9705092123977,1640,980,1.7865497677121356,41740
06073002902,6.752071498263182,0,971.5021038355189,2726,1704,2.8059640727875643,41740
06073002903,6.660252819902203,0,868.7327759979885,1632,1814,1.8785983965266884,41740
06073002904,6.946169548566401,0,1126.934160896843,2721,1681,2.414515500918491,41740
06073002905,7.5791035119871175,0,724.5655187456455,1900,1097,2.622261135596468,41740
06073003001,5.092587979465663,0,1487.8829921954111,1246,NA,0.8374314422140774,41740
06073003003,6.155404287392301,0,2035.3243947503101,1572,NA,0.7723584525664029,41740
06073003004,5.921642932105325,0,756.9583005522843,1554,1246,2.0529532457285775,41740
06073003101,4.9594946889822005,0,651.689552415893,1131,NA,1.735488923839955,41740
06073003103,6.9359970053691296,0,1265.7307327209364,1712,NA,1.3525783610545035,41740
06073003105,7.761256819217745,0,760.8775988960894,1325,NA,1.7414101846635532,41740
06073003107,8.167330846539173,0,977.6076075261101,1572,NA,1.6080071266814633,41740
06073003108,8.589422176132476,0,677.426306160022,1057,NA,1.5603173221772035,41740
06073003109,6.474908262252004,0,679.2465807619387,931,NA,1.3706362701975756,41740
06073003111,5.148916817254153,0,903.1958915568623,1889,1114,2.0914621264982522,41740
06073003112,5.866729766963806,0,928.0211828704704,1163,1385,1.25320415252022,41740
06073003113,5.900586163778178,0,995.8427417661211,1209,NA,1.2140471073332781,41740
06073003114,6.955561896603121,0,701.7509460709589,904,NA,1.288206314592685,41740
06073003115,7.412682373074952,0,957.9970433000024,1769,NA,1.8465610226795108,41740
06073003201,6.356609450712797,0,1000.6152737622664,1719,1650,1.717942994750261,41740
06073003202,6.504490524420174,0,804.3708104112626,1344,NA,1.670871173598198,41740
06073003204,7.3923418108295325,416278,1907.596148201836,1080,NA,0.5661575701010112,41740
06073003207,8.26519984057142,381866,3253.5761391181604,2364,1737,0.7265851170892628,41740
06073003208,7.329167270169605,0,845.879905689907,2178,1563,2.5748335967664397,41740
06073003209,7.575422419418694,0,818.9899342616231,1869,1439,2.282079329442595,41740
06073003211,6.849404407460002,0,531.992626227474,919,NA,1.7274675525428167,41740
06073003212,7.124858177707571,0,792.0367517172436,1048,NA,1.3231709232277329,41740
06073003213,7.927726984618768,0,748.8542136643536,966,NA,1.2899707077470943,41740
06073003214,8.439583167985544,0,761.8558531685072,1732,1679,2.2733959354604005,41740
06073003301,3.680297059289981,0,944.747902919927,1026,1571,1.0860039983459584,41740
06073003303,4.092282862556682,0,391.3216306043553,1436,1539,3.6696157014940582,41740
06073003304,4.278068583384317,0,365.60262052410076,1148,1368,3.1400212568342987,41740
06073003305,4.432459241953507,0,808.027973628253,1742,1218,2.1558659561970024,41740
06073003401,3.988109761477537,0,1738.6505779162846,2217,1495,1.275126830059782,41740
06073003403,3.166160640093448,0,862.7093070492459,1123,1229,1.3017130924911837,41740
