GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
12071000303,8.45825393008846,5493216,1516.2454496880655,1429,NA,0.9424595472283104,15980
12071000304,6.822195018062968,3595287,537.4815033913,1141,1140,2.1228637502885817,15980
12071000305,7.602240248539969,25075,1081.6275344292942,826,788,0.7636639912609358,15980
12071000306,8.834253402992127,0,1047.673206133926,1216,859,1.1606672699850993,15980
12071000401,10.019952533946011,995978,2299.761612928571,991,NA,0.430914227991673,15980
12071000402,10.826386546082839,379307,1998.1596655760088,1550,NA,0.775713786392131,15980
12071000502,7.1482326837871835,4420,1789.105194676247,1597,NA,0.8926249863630796,15980
12071000503,8.097764068368974,22897,1915.8866397003012,1468,NA,0.766224874468375,15980
12071000504,9.256005505208627,329746,4167.1747158722665,1401,NA,0.3361990066468199,15980
12071000600,7.174826615393168,181585,2794.2182625432547,1746,565,0.6248617094109239,15980
12071000700,5.724941061998115,3922,1339.6666073752128,1016,761,0.7583976449115444,15980
12071000800,4.5050845178185215,4970206,926.4172880553073,1395,713,1.5058009149724743,15980
12071000900,4.004164592238614,9126238,1605.7606665311164,1173,NA,0.7304949139986109,15980
12071001001,5.250504888271497,28743,1573.4446620263518,1518,NA,0.964762242127443,15980
12071001002,5.028966513002024,1035,1289.3432983026814,1467,905,1.1377885175586593,15980
12071001101,5.907569425983376,12422,1636.4936621579302,1666,883,1.0180302182186038,15980
12071001103,6.250630595753495,12655,815.1379299228583,1320,1216,1.6193578430645719,15980
12071001104,6.090678607130716,16116,814.9676020518567,1345,1097,1.650372354206072,15980
12071001203,6.9729551528920215,260071,2977.261179618231,2172,1031,0.7295295471116551,15980
12071001204,8.546310230855449,177572,5364.3430064276245,1064,NA,0.19834674977440883,15980
12071001205,7.961956218769954,50459,1258.7520201875438,1888,1344,1.4998982879238623,15980
12071001206,9.064129719819716,212402,3040.202565958669,1371,NA,0.4509567932581761,15980
12071001207,8.349957262082762,133015,3232.0671173551896,988,NA,0.305686721261062,15980
12071001208,8.250768781660486,202217,5084.709805817197,2566,1483,0.5046502353122199,15980
12071001209,8.841875217328878,18116,1625.1410176966306,1685,1407,1.036833100421162,15980
12071001300,6.868159366910974,101774,3658.553602939086,1539,941,0.42065804332172413,15980
12071001401,5.93010822965919,60504,1703.599461577325,3077,1140,1.8061757293296359,15980
12071001402,5.399652927252277,74936,1572.6645925662935,1345,NA,0.8552363971043644,15980
12071001501,6.241136360149752,146929,1382.3695792309288,1670,NA,1.208070565998054,15980
12071001502,6.674956613980248,47059,1164.9192512343782,2886,1143,2.4774249347685866,15980
