GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
04019000100,0.2550358552625261,0,474.6989232524578,803,1105,1.6915985283854178,46060
04019000200,0.7349675517190357,0,1218.7121694388659,2522,934,2.0693975683866435,46060
04019000300,0.6811617368460247,0,774.3541638083884,865,881,1.1170599196442645,46060
04019000401,0.9358939311164165,0,642.1409488343124,1353,883,2.1070140480156576,46060
04019000402,0.5857138134463475,0,528.1341720418683,849,934,1.6075460459557136,46060
04019000501,1.0756548874726557,0,392.0403522421703,1091,857,2.7828767976569666,46060
04019000502,1.513897695357418,0,1111.8961863691452,906,792,0.8148242714623464,46060
04019000600,2.3897737484537336,0,1763.1412752775666,2456,802,1.3929683539473368,46060
04019000700,2.163075487172718,0,1996.6285111750824,2605,1574,1.3046993897061356,46060
04019000800,1.2959864397027794,0,1973.8450164814185,984,725,0.49851938312465943,46060
04019001100,1.2534446203453338,0,775.8998660646018,1194,NA,1.5388583659074726,46060
04019001200,1.8880276605461317,7636,2543.3395079828006,1424,534,0.5598937914228437,46060
04019001302,1.5077481989677985,0,1039.7051163872895,1287,287,1.2378509826632356,46060
04019001303,2.3244868652204542,0,601.5668831979395,1581,686,2.6281366946188554,46060
04019001304,2.3108788808127825,0,1009.1224619239881,2757,766,2.732076734020484,46060
04019001400,1.8231528379378905,0,1280.4657197306149,3468,779,2.7083895699524074,46060
04019001500,2.202884088380456,0,1526.5146874665195,2607,679,1.7078119335534911,46060
04019001600,2.7655457106260912,0,1451.2573503935985,2056,835,1.416702557573533,46060
04019001700,3.830909470375766,0,874.840937879766,1572,868,1.7968980781921848,46060
04019001801,3.6499458014536836,0,1511.8265811915223,3053,597,2.0194115105409947,46060
04019001802,3.3128187634550565,0,702.5369923185503,1594,736,2.2689196688979973,46060
04019001900,3.1816088404248464,0,3224.4346806736953,1970,958,0.6109598100428566,46060
04019002000,3.23910469243767,0,3047.66410724991,2740,NA,0.8990492073854117,46060
04019002100,3.7105971370467845,0,3749.8915837112577,2165,698,0.577350025105874,46060
04019002201,3.670872022630132,0,2088.4481681507223,1322,790,0.6330058941183127,46060
04019002202,2.460496787010781,0,2571.959169993584,1364,279,0.5303350130567596,46060
04019002300,1.8976784489293785,0,1636.0178562828928,1807,773,1.1045111720880518,46060
04019002400,3.094404996021316,0,1961.7816712799927,2102,673,1.071474991724497,46060
04019002503,2.6736725612135155,0,1726.0961110202156,1748,730,1.01268984319004,46060
04019002504,3.897792264984591,0,1309.7047499500302,2576,936,1.9668555070127702,46060
04019002505,4.870219884831774,0,1557.0175281877068,2430,1115,1.560676072046795,46060
04019002507,6.633829865612465,0,2467.940038681244,1273,920,0.5158148010274325,46060
04019002508,5.702826311741792,0,1071.7298039451882,1967,NA,1.83535065718915,46060
04019002509,2.3855692863660773,0,3923.93004171719,1859,333,0.47375972054447346,46060
04019002602,3.3625468799491194,0,1303.169275633518,3069,783,2.3550278980511163,46060
04019002603,2.9531419363996005,0,533.357042136992,1535,647,2.877997061498885,46060
04019002604,3.2172005169840077,0,1533.7434187443748,2114,780,1.378327022736738,46060
04019002702,4.094844065934271,0,2029.2133761118523,3010,942,1.483333411574203,46060
04019002703,3.230404127632591,0,1016.6463129708338,2292,866,2.254471364089582,46060
04019002704,4.206160453068798,0,781.4889110685033,1250,944,1.5995108597138217,46060
