GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
39133600200,21.332368730973016,1012176,44383.61517026893,2421,702,0.05454715643852611,10420
39133600302,17.429063924572244,1250037,20357.819157291065,2994,1491,0.14706879832595976,10420
39133600303,19.836755827700134,279920,12027.904148625505,2167,NA,0.18016438884305835,10420
39133600304,18.677250521639028,1435836,4435.736772938157,1881,1362,0.42405582122810626,10420
39133600401,14.508325712966162,453239,9554.5520853488,3045,1300,0.3186962583697966,10420
39133600402,13.208744816002708,1634580,18775.806611298718,2354,1039,0.12537410768725288,10420
39133600403,15.90895639715157,223359,9729.364489846384,2020,NA,0.20761890482241493,10420
39133600500,17.866316313784512,1282294,43619.00467870007,2163,NA,0.049588476764492316,10420
39133600602,22.193031231424335,344118,38240.9998556135,1052,NA,0.02750974095792566,10420
39133600703,20.29420034817048,6700062,32961.500100824014,816,760,0.024756154832273565,10420
39133600705,19.406415886102163,787794,38716.931594151734,889,NA,0.022961530353667933,10420
39133600800,16.020198068645065,18977,2654.700462599468,1667,657,0.6279427843123524,10420
39133600901,14.85956520855091,27169,3059.662297117399,1829,580,0.5977783893742642,10420
39133600902,14.05317897898268,122153,5150.165510259969,2534,702,0.4920230223576037,10420
39133601000,15.567142047698301,18115,2717.2436070047397,1185,389,0.43610370337985416,10420
39133601100,15.632159241687962,712885,27698.488919998665,2555,NA,0.09224329916984234,10420
39133601200,10.699952046550152,66856,2364.4086626852777,2675,837,1.1313611061473532,10420
39133601300,9.860007856730238,238870,6232.854773774737,3462,634,0.5554437132991864,10420
39133601400,8.66809399339259,123139,3513.1512531254657,2442,785,0.6951024376839685,10420
39133601501,9.625907027173731,0,629.2622654866494,1256,526,1.995988110026991,10420
39133601502,10.40097377798362,0,1036.9371265913776,1534,790,1.4793568102268349,10420
39133601503,10.488050928462693,9436,2474.108898562332,2307,962,0.932456934834422,10420
39133601600,11.699116886157093,4399123,16849.582276580062,1844,882,0.10943891484853323,10420
39133601702,9.104694927475045,2059532,19584.61550554594,2441,NA,0.12463864809134301,10420
39133601703,7.946264841635847,153308,8463.569779527808,1896,1053,0.22401894819679502,10420
39133601704,10.450527997597229,41387,7451.350003769226,1500,NA,0.20130580354448965,10420
39133601801,14.461918442194737,1620839,14870.253377331765,1624,NA,0.10921131999510028,10420
39133601802,14.069114367856976,359426,27542.860686727538,1883,NA,0.06836617377610989,10420
39133601901,19.709829487063903,1092929,41016.31439079778,980,NA,0.023892931740835986,10420
39133602000,14.53082314942944,478002,46739.05462301459,2076,NA,0.04441681623097625,10420
