GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
06061020601,23.340878442830757,21025573,15450.351831826423,2746,NA,0.17773058050001628,40900
06061020604,20.15089843442075,22118,7137.1034692107705,2274,NA,0.31861665027135466,40900
06061020605,19.198111127432156,27058,6516.818595686963,2062,NA,0.31641206053590276,40900
06061020606,18.233707338589248,21600,2553.6806625891554,1527,NA,0.5979604350576033,40900
06061020607,22.19640751777932,39340,17205.557902663044,1940,1948,0.11275426295242251,40900
06061020710,17.043177078846362,0,2200.6570603607033,1786,NA,0.8115757935074455,40900
06061020711,17.496522119158328,0,1794.3629704583934,2250,1566,1.2539269016598176,40900
06061020712,16.555300791039368,0,1117.0470493038472,1499,1647,1.3419309427782733,40900
06061020713,15.960426049132824,0,957.6431423351087,1344,1355,1.4034455431099335,40900
06061020714,15.40414672659449,0,1456.3006528265298,1517,1432,1.041680505365193,40900
06061020715,16.233779518943848,0,897.1167577434934,1161,NA,1.2941459291433244,40900
06061020717,17.85360285896573,0,3938.2827017314203,2281,1764,0.5791864558116117,40900
06061020805,14.857259113282467,0,1280.0609085161234,1714,1536,1.3389987840398228,40900
06061020806,16.30722203551774,0,1302.6818037785513,1797,1575,1.3794619643781254,40900
06061020901,15.296136734674677,0,1130.2397231657878,1083,1417,0.9582038020806153,40900
06061020908,14.504674706757326,0,6609.476818532774,2783,1478,0.42106207138764024,40900
06061021003,17.270139089872632,0,4716.238169402789,3041,2094,0.6447935601999247,40900
06061021034,17.486681543166473,0,1737.0852124672542,1459,NA,0.8399127397600269,40900
06061021037,15.869866861305592,0,637.2565834411442,1064,1517,1.6696571328529382,40900
06061021038,15.257707495349587,0,1729.5017121320752,2866,NA,1.6571246966080684,40900
06061021039,15.973328024374986,0,1143.6450973143312,978,NA,0.855160400981631,40900
06061021040,15.604721535326474,0,1728.530227143076,2029,999,1.1738296317522559,40900
06061021043,16.751839523265055,0,3634.94641457324,1436,1688,0.39505396674976656,40900
06061021044,16.310682899539298,0,1493.9299701684856,1835,NA,1.2283038941865851,40900
06061021045,15.975575389110114,0,980.1136186089523,1459,1352,1.4886029255166535,40900
06061021046,16.27221249136859,0,1030.9757943888633,2436,1710,2.3628100807584915,40900
06061021047,14.786695150006427,0,1636.6532442686512,1592,809,0.97271673494369,40900
06061021048,14.496386498257438,0,671.9629989780102,1248,NA,1.857245118999239,40900
06061021103,20.596566838357365,0,3001.4119546293514,2002,1611,0.6670193996236115,40900
06061021106,19.808545664688793,0,1317.6495832203714,917,NA,0.6959361666998195,40900
06061021108,19.508407937176045,0,1167.7385124431569,1397,NA,1.196329473691143,40900
06061021109,20.248831417933722,0,3775.4507901652833,2042,2147,0.5408625654237714,40900
06061021123,22.018651457470305,0,7350.021480961145,2731,NA,0.3715635399262634,40900
06061021128,18.9568371913635,0,748.0238240763523,1258,NA,1.6817646169937943,40900
06061021129,18.8033035554759,0,1070.7972127504029,1394,345,1.3018337957935402,40900
06061021130,19.877575503302765,0,571.4649534873193,1118,1813,1.956375440309146,40900
06061021131,19.8146082642055,0,1137.1341570237685,2185,1145,1.921497113162813,40900
06061021323,20.439968085756373,28653,5493.182518816235,3087,NA,0.5619693118562606,40900
06061021324,20.813121150777043,0,2584.432592581812,2120,NA,0.8202961091285997,40900
06061021325,15.470577896944977,0,3974.016298521736,3197,1742,0.8044758148549183,40900
06061021326,15.058820585717397,0,1624.885676587487,1084,NA,0.6671238571544115,40900
06061021327,13.301018239212326,0,39963.41789501714,2306,1034,0.05770277222178048,40900
06061021328,20.981377860996577,119889,115000.4830853701,2874,NA,0.024991199366236564,40900
06061022400,18.69904245827722,0,1933.367227343336,1898,1621,0.9817069272494421,40900
06061022500,12.943508208225522,0,8397.038174563833,1557,NA,0.18542252251709873,40900
06061022600,17.68632989965015,0,1917.5813910412598,2091,2053,1.0904361138301268,40900
06061022800,18.47921875377219,0,1856.976135914721,1685,1861,0.907389151325842,40900
06061022900,19.09065956398764,0,1099.4921497677692,1887,1872,1.7162469058088003,40900
06061023000,18.844422116419434,0,2953.8331711646133,1094,NA,0.37036621115899604,40900
06061023100,17.522166267525332,0,2843.311840909785,3248,1417,1.1423298539637936,40900
06061023200,20.905994264956437,48051,7998.163287832526,1771,NA,0.22142583694111284,40900
06067000100,3.413156149736761,188167,1269.0269445741596,1810,1593,1.426289652665627,40900
06067000200,2.9252518762407944,0,939.1826797939416,1873,1391,1.9942872034340962,40900
06067000300,2.165004226232854,2502,885.7291641231402,1594,1329,1.7996471885150562,40900
06067000400,1.3391175377483642,0,603.5575376303424,2266,1257,3.754405932691449,40900
06067000501,0.4899052638002704,0,245.4767586979989,1129,1158,4.5992134081783584,40900
06067000502,0.7895963151717406,0,292.311458375896,1147,1453,3.923896813258079,40900
06067000600,0.2871025922055118,0,250.4607005105248,854,1033,3.409716567346714,40900
06067000700,0.4689888814322973,42394,284.2477914102991,678,325,2.3852428074677174,40900
