GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
25005600202,21.698115963645265,158819,12404.183043608691,2320,1208,0.1870336798355608,39300
25005600203,20.772701462575874,499995,12137.718024955233,2291,1841,0.1887504714881074,39300
25005600204,19.63223155815975,196273,9789.480269081478,1427,1488,0.14576871915324793,39300
25005610100,17.364124877250656,67704,2377.675792595399,2553,1158,1.0737376424282061,39300
25005610202,15.053338360560973,391792,14841.500457968114,1902,1925,0.12815415836064292,39300
25005610203,17.386752721343665,240712,8827.717572768508,2423,1113,0.27447638418727865,39300
25005610204,19.044956321292876,122133,6256.830766490152,2289,1424,0.3658401650016248,39300
25005611101,17.606857984805014,757226,13221.520689059318,1998,NA,0.15111726154566515,39300
25005611102,15.264880646412323,620665,10789.622194665579,1222,440,0.11325697767287538,39300
25005611201,13.196746315701795,425428,10461.716807349796,1144,NA,0.10935107698540376,39300
25005611202,14.39067299192482,2030071,10255.317676492252,2432,NA,0.23714526226474203,39300
25005612100,19.926545866009956,44276,11921.878499245931,1806,531,0.1514861940686806,39300
25005612201,20.553734436733357,313388,5554.557313782529,1540,1495,0.27724981722284087,39300
25005612202,20.823471660124703,415101,15401.712737488251,2411,1194,0.15654103157836144,39300
25005613100,18.064205601589123,1847600,15948.086510583345,2923,858,0.18328217608176764,39300
25005613300,14.886921865321932,425782,13628.989175341947,3021,NA,0.2216598722864716,39300
25005613400,14.23760312814027,386403,9635.424576611904,1525,1076,0.15827014034250625,39300
25005613600,17.388647337901936,25727,1197.489794641262,1741,908,1.4538746031832028,39300
25005613700,18.084097957974222,15606,2178.195198243661,2148,NA,0.9861375150087522,39300
25005613800,17.171481157176203,5655,1063.6342651753475,2559,633,2.4059021825308826,39300
25005613901,16.36558230317771,24970,783.8665540445498,1437,1016,1.8332201987512409,39300
25005613902,15.88262358553901,246102,4944.75416719129,2152,974,0.4352086933418522,39300
25005614000,17.1006765410774,35462,1221.808597249474,2167,1023,1.7736002225539529,39300
25005614101,18.231479595505952,462755,6800.219969973621,2913,999,0.4283684958519511,39300
25005614102,20.781996618118114,942316,17625.732577553714,2681,763,0.1521071528915763,39300
25005615100,13.288337069401988,1496280,35429.553093489,3001,670,0.08470329817825174,39300
25005616100,17.38723198477854,2360515,26525.185356854974,2335,NA,0.0880295450752264,39300
25005617101,18.89813411259398,2934538,33470.487323101974,1842,NA,0.05503355783913598,39300
25005630101,12.217778245223121,93431,610.7764957414378,1711,1199,2.8013520689314864,39300
25005630102,11.622918876458307,173019,1365.5059468817615,2381,745,1.7436760384948875,39300
25005630201,13.361226071130714,376013,3749.1432581557315,1182,NA,0.3152720284637633,39300
25005630202,12.55772563401724,43026,5739.814107394681,1964,895,0.3421713601264111,39300
25005630301,9.610174262992617,328688,11500.44896495934,2006,298,0.17442797286541345,39300
25005630302,11.113399637365589,11471,1194.8447806131896,1265,1143,1.0587149230804749,39300
25005630400,9.86960981341683,331728,6183.141887545283,2382,1380,0.3852410381844978,39300
25005631101,6.404491493256873,33749,2530.962457616277,1511,1097,0.5970060897003969,39300
25005631102,6.375921618536304,111228,2636.8747663800714,1889,1069,0.7163783521631703,39300
25005631200,8.478013457864138,1547092,10548.764324070733,3016,469,0.28591026468549785,39300
25005631300,11.771034666360977,156506,5540.95727347591,2557,NA,0.4614726073128448,39300
25005631400,10.676618561655115,10372,498.2873253028867,1465,1044,2.9400707696297346,39300
25005631500,9.401078458364204,42076,1389.3135118224432,1394,NA,1.0033732401921358,39300
25005631600,10.305107959451924,23449,963.3911667808798,1651,974,1.7137379466709546,39300
25005631700,11.490057096809904,337138,11543.323086880726,2527,NA,0.21891443053101395,39300
25005631800,9.173868076283057,310470,7456.174465063048,3457,489,0.4636425845717879,39300
25005632100,5.725906327126005,416818,14786.50206236342,2713,NA,0.18347814706667442,39300
25005632200,5.104144800622931,221850,14645.746461483426,3549,1392,0.2423229167139721,39300
25005633100,9.135754499316663,226587,34122.24360654158,2252,1195,0.06599800487820996,39300
25005633200,8.884643247602307,1183101,41292.244275089215,2541,NA,0.06153697975512885,39300
25005640100,17.883518034085302,1489149,2193.991020266277,2211,NA,1.0077525293297047,39300
25005640201,15.845276207616465,0,234.033945760194,1185,1289,5.063368034713331,39300
25005640202,15.976267687219632,637808,716.4580490522222,1962,445,2.738471572195277,39300
25005640300,15.219034640823784,450104,818.159979077481,1761,665,2.1523907854618134,39300
25005640400,15.1696610186792,320084,549.7755325698413,1523,946,2.770221499092494,39300
25005640500,15.256560647949607,438873,844.2888319053649,2547,699,3.0167401293844067,39300
25005640600,16.336921692868632,0,445.12039809052294,2242,730,5.036839492455815,39300
25005640700,16.813712105706724,0,592.9249192349099,1269,NA,2.1402372523615205,39300
25005640800,17.505858141784312,2836343,1921.1418642648348,1581,884,0.8229480755212227,39300
25005640901,15.536042521234178,6367,455.70437554281654,2250,1087,4.93741144644462,39300
25005641000,15.271969047498581,295751,408.10230505124025,1432,NA,3.508924067018445,39300
25005641101,15.78839522102072,0,299.42250866121776,1189,677,3.970977350087253,39300
25005641200,16.30892134281298,126547,627.9646048070431,1609,694,2.5622463235716975,39300
25005641300,16.747246352025545,0,546.0151985368403,2566,NA,4.699502883575628,39300
25005641400,17.129606939711135,7348,371.922482751157,1699,288,4.56815621210174,39300
25005641500,17.467015045261274,0,218.57006137786382,1339,389,6.126182110939419,39300
25005641600,17.626437100007198,543950,619.2596730413153,1105,NA,1.7843887598446564,39300
25005641700,16.87044369181622,82249,1891.5204508254476,2315,872,1.2238831459579242,39300
25005641800,15.706629134461497,0,321.07834989050133,996,1018,3.1020465887521533,39300
25005641900,15.668228869717721,0,216.25834911069995,1221,1091,5.646024789428987,39300
25005642000,15.208376733795532,819837,685.7495868607335,1822,910,2.6569465514968273,39300
25005642100,15.467567579183072,1984443,1648.220907369067,2236,603,1.3566142681499904,39300
25005642200,15.70214712192558,3763,880.8407457249367,1558,1058,1.7687646802916202,39300
25005642300,15.905002912026724,0,618.9428281170115,886,1132,1.4314730856409588,39300
25005642400,16.24712384625068,0,718.8521948923196,1367,1020,1.9016426599417555,39300
25005642500,18.813713659183374,8384854,34433.23775541413,2080,NA,0.06040675044196069,39300
25005644101,14.664411492744781,818036,2694.3146661381793,2656,NA,0.9857794389721017,39300
25005644102,14.663697047833727,2155382,3563.640308285968,1872,1089,0.5253055409793562,39300
25005644200,14.101604150591005,7366662,6436.3773190711745,3011,534,0.4678097399725648,39300
25005645101,12.51090396942607,4995814,3473.309413264766,2212,984,0.6368565931823541,39300
25005645102,12.396110977725698,647058,18094.13331669241,2337,NA,0.12915788554757932,39300
25005645103,9.787407183684284,1077485,14905.230972279647,2378,1077,0.15954130495679947,39300
25005646101,20.104226429597546,3262737,19973.283502222646,3355,834,0.16797438436332476,39300
25005646103,22.788164698247584,2744896,31210.128373547093,2441,977,0.0782117898005485,39300
25005653102,22.755655446696178,457124,28080.138035421198,1512,1026,0.053845889150997556,39300
44001030100,6.465443417440947,2694391,1776.613264763946,1801,1319,1.0137265299768512,39300
44001030200,6.93205170390574,786253,2648.149314179944,1294,1027,0.48864314148415555,39300
44001030300,7.399116144428617,2599598,3760.4709512792024,1803,1182,0.47946122263932717,39300
44001030400,8.616557034209832,12618944,1745.0582302619682,1541,NA,0.8830650881882979,39300
44001030500,9.327404496047858,455721,935.7382170781563,1985,987,2.1213197919800315,39300
44001030601,10.311647316798904,5673701,5627.707177984374,1558,NA,0.2768445391215282,39300
44001030602,10.196851368421088,603029,2086.9534083669228,2061,985,0.9875639732718174,39300
44001030700,12.71704408921239,329020,536.3655110363225,2033,1018,3.7903257352845086,39300
44001030800,13.657715616591114,8359526,1607.7931749457819,1962,1259,1.2203062126235005,39300
44001030901,12.194680535269681,4282387,2682.287565720245,2236,NA,0.8336168084944284,39300
44001030902,11.589398207321201,14956564,3425.421424569379,3201,517,0.9344835578595729,39300
44003020101,11.707579501265926,45456,4029.8227109824097,3140,NA,0.7791906059397128,39300
44003020102,10.670844970618266,88061,1643.5913460356749,2350,936,1.4297957978838083,39300
44003020200,10.06703069479888,230898,1798.7420467562529,2478,575,1.3776294407909582,39300
44003020300,9.919696330056853,30146,1354.3005072566873,3162,925,2.334784623543444,39300
44003020400,9.000687234108316,0,1050.371406288379,1385,926,1.3185812101398247,39300
44003020500,8.377267826158624,195485,2707.269888273613,2078,1070,0.767562927139529,39300
44003020601,10.424716484225257,262551,5964.1939390413,2529,943,0.42403047685040873,39300
44003020602,12.377676230343788,300688,4027.9774516255857,1675,866,0.41584145395948385,39300
44003020603,12.94018923474299,1058697,5185.021009353681,3126,1064,0.602890517581463,39300
44003020604,11.229798874283112,278986,2698.046690543244,2698,592,0.9999826946867125,39300
44003020701,19.29681934303869,1727652,35282.846914921145,682,NA,0.019329505967716615,39300
44003020702,15.628905944058623,2957268,27214.40778601874,1893,NA,0.06955874310711692,39300
44003020703,12.958026901443963,2080920,14509.060328947573,2745,1057,0.18919212807485175,39300
44003020800,18.79368536308253,2598306,80854.1119394732,2482,NA,0.030697263756455668,39300
44003020901,11.927165474854805,409901,1588.9837725377242,1969,660,1.2391567705284754,39300
44003020903,14.256292300718185,129489,19611.224344112114,2364,NA,0.12054321334148344,39300
44003020904,13.041701988527379,90200,5082.646208466264,1471,1370,0.2894161701732704,39300
44003021001,4.471687055026824,39466,870.2547473585465,1021,944,1.1732196843499048,39300
44003021002,4.692131809014932,472653,1593.1328092199858,2363,783,1.4832410620913326,39300
44003021100,5.686381057098555,136612,4463.0179901467955,2325,1080,0.5209479336926283,39300
44003021200,5.3113995237877445,115098,1488.6555412922212,1738,921,1.167496409875542,39300
44003021300,5.905857869106764,2578903,1918.130392873519,2241,1292,1.1683251609619696,39300
44003021401,7.052819560869503,367434,1487.042279049247,1549,NA,1.041665070202554,39300
44003021402,6.913893350554339,5568,1356.9902222902567,1442,955,1.062645829213322,39300
44003021501,7.62026224335793,4014702,437.7875715217419,1445,1003,3.3006875799996,39300
44003021502,8.79322647251075,10221803,667.9162898345529,1752,NA,2.6230832016898127,39300
44003021600,10.0049134004364,5092729,1009.9860585242847,715,NA,0.7079305639571937,39300
44003021700,8.914223095157983,1189145,1409.0043539920305,2126,965,1.5088668775057774,39300
44003021800,8.004207296164127,125723,2116.30854918461,1838,480,0.8684933965362285,39300
44003021901,8.199594282677415,0,1465.6047246029373,1364,281,0.9306738557147705,39300
44003021902,7.842035895426777,21216,1350.48083041868,1370,NA,1.0144534962227258,39300
44003021903,9.04491598396276,3397777,1355.5434088377183,1618,NA,1.1936172530153937,39300
44003022000,9.432797953161778,3199954,1257.7427439987976,1706,1111,1.3563982047521406,39300
44003022100,8.025433522496709,386347,4628.195025592883,2530,NA,0.5466493926918952,39300
44003022201,10.399740774135756,46506,5441.866472350225,2855,1388,0.5246361729943342,39300
44003022202,10.290180887121812,77444,5072.343837416287,2440,NA,0.4810399448872672,39300
44003022300,8.432978645200633,265091,3897.220282286277,2308,1031,0.5922169733361924,39300
44003022400,11.902539606402334,6446405,2431.8121951503736,1131,1227,0.46508525709982446,39300
