GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
01009050701,24.047187871148832,740940,73095.9857383243,2406,NA,0.03291562423979367,13820
01073000100,6.514859887407695,82926,4692.934196660442,1284,NA,0.27360281354759086,13820
01073000300,3.684291564966534,0,1301.8792036186321,803,552,0.6168006968450108,13820
01073000400,4.016620117914132,0,4976.077661950534,1321,NA,0.2654701332539475,13820
01073000500,2.664082059203534,0,2916.5146653571155,1540,625,0.5280275180140174,13820
01073000700,2.3132116143640324,0,2141.670714163657,1002,NA,0.4678590379806779,13820
01073000800,2.5325095576552346,0,7143.3790179862835,1975,366,0.2764797996896365,13820
01073001100,4.314841733711493,3862,6305.117100301088,2048,NA,0.32481553751035047,13820
01073001200,2.9410475945625034,0,5366.765729847403,1572,NA,0.2929138477681786,13820
01073001400,1.5067493484361114,0,1393.5036464052837,1114,NA,0.7994238141204021,13820
01073001500,0.8891360719787261,0,1206.4378052920665,1550,618,1.28477406228559,13820
01073001600,1.27888741882772,0,1636.9650851996034,1420,NA,0.8674589414513091,13820
01073001902,4.513571055040819,0,2084.775173659423,970,750,0.4652779888477619,13820
01073002000,5.930728640177945,0,2252.0605656709386,1774,NA,0.7877230421960194,13820
01073002100,6.5619291501821335,0,1716.1261979006285,1484,NA,0.8647382703063486,13820
01073002200,5.251162117221836,0,1140.7664161167256,1221,NA,1.0703330521916983,13820
01073002303,4.968589556673597,0,2001.8847520467025,1542,515,0.7702741121453061,13820
01073002305,3.723687799685716,0,1312.747139303468,1521,NA,1.1586389750634147,13820
01073002306,3.5261529417784736,1999,2950.535143659419,1906,1067,0.6459845103339701,13820
01073002401,1.8855024753870413,0,2166.1211572787697,1750,920,0.8078957144753944,13820
01073002402,1.5360289038541037,0,3107.6766068695606,390,NA,0.12549568353988308,13820
01073002701,0.37031380190400714,0,882.5579247287085,971,1702,1.1002110714698732,13820
01073002702,0.18739020407192436,0,1479.917938746436,929,421,0.6277375087343756,13820
01073002900,1.225159012410775,0,1452.0629260580017,1117,402,0.7692504091626275,13820
01073003001,2.7800148469277355,0,1509.537325765526,1063,NA,0.7041892783014986,13820
01073003002,2.0194571484710333,0,1100.3332856482893,1429,391,1.2986974207165498,13820
01073003100,3.820802865731373,0,1395.0842519668397,1825,NA,1.308164720107083,13820
01073003200,4.411362631528194,0,695.2106864400812,601,525,0.8644861359618916,13820
01073003300,4.667078878140683,0,1257.914600410787,628,NA,0.499238978381298,13820
01073003400,5.349890964667869,0,1267.1102504901853,1116,1013,0.8807441969380897,13820
01073003500,6.6468245833898365,10985,4678.998233176152,1194,NA,0.2551828277117131,13820
01073003600,5.614546516099852,0,1459.7014657720008,2233,519,1.5297648542258744,13820
01073003700,4.895705441714698,0,1510.1763663578645,2247,576,1.4879056844328415,13820
01073003802,5.396192986993864,0,2015.734434399668,2110,NA,1.0467648733839319,13820
01073003803,4.1486225335166544,0,1701.88342020635,1954,NA,1.1481397472942545,13820
01073003900,3.4395040392221383,0,1383.865539100932,858,NA,0.6200024321419437,13820
01073004000,2.918252698363728,0,1459.5564549536698,1790,286,1.2263999750916241,13820
01073004200,1.630685676142912,0,1900.7393640734342,1216,547,0.6397510479259062,13820
01073004501,1.481756698997697,0,449.0824933647565,89,777,0.19818185147491796,13820
01073004502,0.9626323269311146,0,1836.146145566931,2623,1474,1.4285355260706216,13820
01073004701,1.7454784628907916,0,694.3768875888879,2687,978,3.8696564474232074,13820
01073004702,2.407776006026956,5581,1576.8088153091492,1919,884,1.2170150124533397,13820
01073004800,2.1451263060733776,0,785.362884134841,1310,916,1.6680187292567326,13820
01073004901,1.8891612899280694,0,599.4488223638548,979,861,1.6331669418240418,13820
01073004902,1.8809496978273375,0,700.6155519567297,2229,974,3.1814880411585036,13820
01073005000,2.314146989388899,0,1503.7738927352962,2039,885,1.355921930717358,13820
01073005101,2.2360645697474766,0,460.87008047567747,587,NA,1.2736778212943225,13820
01073005103,2.680813423668977,0,1086.843479232387,1537,NA,1.4141870741917213,13820
01073005104,3.5486954179380445,0,1125.557006347237,2168,995,1.9261574382943045,13820
01073005200,3.5726894194083236,0,2862.4038491455503,1679,824,0.586569921117593,13820
01073005302,7.6418138757153296,0,3111.7827261544226,1622,NA,0.5212446185163083,13820
01073005500,3.5802332734313165,82509,5397.378658244114,827,370,0.1532225275202465,13820
01073005600,4.819195865853041,0,2602.9203532577717,2327,1099,0.8939958524230546,13820
01073005701,6.060761021642569,0,2014.3008306361612,1122,1044,0.5570170964213162,13820
01073005702,5.047072810540056,0,1734.441746288236,1556,NA,0.897118628129133,13820
01073005800,2.920607669572242,0,1580.994532232138,2581,969,1.632516714878196,13820
01073005903,9.4141753821677,39652,4959.398374975356,2164,NA,0.43634324899555044,13820
01073005905,8.614211907687846,0,3392.4161514340294,2203,NA,0.6493896685018306,13820
01073005907,10.450797723303209,0,1343.6905260388037,922,NA,0.6861699045523925,13820
01073005908,10.361035513171258,21158,1827.655609632095,1786,838,0.9772081734586308,13820
01073005909,8.195390989467889,0,2823.009325320227,942,NA,0.33368646413987474,13820
01073005910,9.262793089351874,0,4523.528439183191,2416,737,0.5340963437020537,13820
01073010001,12.075710229472527,0,6895.517811723993,2269,NA,0.32905433093685427,13820
01073010002,12.306881681411825,0,5523.544259040028,2033,NA,0.36806077848886976,13820
01073010100,10.822702058988696,0,1498.739909108054,806,469,0.5377851054087666,13820
01073010200,12.040762678636813,0,2321.2169326460817,1194,314,0.5143853567528884,13820
01073010301,11.926983397299495,0,1289.2744788123725,1495,577,1.1595668917429696,13820
01073010302,10.573965979588285,0,3224.9322009448115,2040,323,0.6325714380607255,13820
01073010401,12.88244330180668,0,2466.388280801409,1669,NA,0.676697993171492,13820
01073010402,13.658311131805124,5682,1492.2330672817288,907,NA,0.6078138997765296,13820
01073010500,8.793234814492052,0,2177.421196786282,712,NA,0.32699231597949957,13820
01073010603,7.442741363661305,0,1269.428100075322,938,NA,0.7389154217906028,13820
01073010604,6.603538152232945,0,2351.8043068721677,2315,359,0.9843506082693094,13820
01073010605,6.414554202685589,0,1189.5624994794264,469,NA,0.39426259671538294,13820
01073010701,2.911218494909434,0,593.082201482098,798,945,1.3455133167136317,13820
01073010702,3.0837810765884566,0,1972.1353176991365,2582,1307,1.3092407893249356,13820
01073010703,3.4875997780535934,0,1212.9360042221717,903,NA,0.7444745616064661,13820
01073010704,4.056096609829581,9854,1889.8073920038019,1611,1112,0.8524678265184599,13820
01073010705,3.7381037816517315,0,1324.1772144854112,1637,NA,1.2362393659191264,13820
01073010706,4.980525484441583,42449,4649.391454341956,2408,1132,0.5179172422126828,13820
01073010801,3.1613269599847835,18719,3124.5481771648497,3376,1250,1.0804762188251207,13820
01073010802,3.440402792448671,5889,3458.398762819332,1714,NA,0.4956050812956932,13820
01073010803,5.519379825036273,5292,5322.043043476029,2933,1223,0.5511041485459963,13820
01073010804,4.84457292854928,0,4379.299082380488,1160,NA,0.2648825709728531,13820
01073010806,6.110547604247286,102737,7727.571381167844,2283,NA,0.2954356404346765,13820
01073010807,7.495204446889689,377311,5160.1979542363015,527,NA,0.10212786499156598,13820
01073010900,4.729989935394967,0,3485.762529981048,2393,443,0.6865068917970757,13820
01073011002,14.379378670843442,133297,7950.614379207351,870,414,0.10942550581691475,13820
01073011003,15.540078886383013,8454,2519.027621902509,1092,NA,0.4335006057516992,13820
01073011004,14.841688873296476,100502,9146.821218729343,1517,635,0.1658499672972441,13820
01073011108,12.501675267262218,0,5697.986919242257,2419,1157,0.4245358991314935,13820
01073011109,16.133429409093395,160026,10619.610542820168,1924,NA,0.18117425231764273,13820
01073011110,19.30585552169589,386431,25038.233958663393,2194,NA,0.0876259884631704,13820
01073011112,12.213808389309994,0,2489.101302888962,1758,NA,0.7062790083953541,13820
01073011113,12.104075248055214,15145,6088.423212846857,1632,NA,0.2680496974251731,13820
01073011114,15.605132373275097,989047,25078.28793280994,2498,NA,0.09960807558684519,13820
01073011115,12.071617835989478,585114,13036.014016673626,2145,NA,0.16454416183171117,13820
01073011116,18.895033781899812,742753,21901.768238738383,1011,NA,0.046160656481233825,13820
01073011117,15.301874442296208,92285,13249.097058509433,2396,NA,0.18084251246851066,13820
01073011205,14.374787325702199,20936,5941.550854767166,814,NA,0.13700126783344657,13820
01073011206,17.982465335826134,1056974,33076.87006216526,2224,NA,0.06723731706839779,13820
01073011207,12.711373116620074,8666,3368.731905473824,1946,NA,0.5776654404697391,13820
01073011208,13.865479819234283,49888,4679.820969962358,1675,NA,0.35791967486599663,13820
01073011209,11.326066909399033,0,2606.577140801872,1283,295,0.49221639364385184,13820
01073011210,11.982417494444935,0,5586.910831139377,1479,NA,0.2647259003592111,13820
01073011301,17.858424700205,60288,38933.592686795426,1489,NA,0.0382446082481621,13820
01073011303,18.764953964140215,0,19131.025311495876,1576,NA,0.08237927525259078,13820
01073011304,16.430205529594023,28998,12802.530459327145,1451,NA,0.11333696917259742,13820
01073011401,20.657510671994864,0,17108.546439682395,1291,525,0.07545936205343498,13820
01073011402,19.89497381324035,240090,53269.70501067638,1441,NA,0.027051022710022386,13820
01073011500,18.07512081289006,967980,57196.4714418345,2395,NA,0.041873212448701076,13820
01073011600,12.916569509702066,480126,65785.56117609152,1558,325,0.023683008431434113,13820
01073011704,14.630816894336059,167399,41907.29278823946,1652,NA,0.03942034643821241,13820
01073011706,13.127053384574301,25907,38570.095893799305,799,NA,0.020715530555070534,13820
01073011707,8.684797646422627,0,6103.050912836117,2035,696,0.33343978758557097,13820
01073011708,9.175282136607045,20405,12534.408937810782,2550,NA,0.20343998768923,13820
