GEOID,distance_to_buffer_centroid,AWATER,tract_area,housing_units,median_gross_1_bed,housing_density,geoid_cbsa
55079000101,11.100710453288455,168402,2370.4787629207713,2425,NA,1.0230000951419833,33340
55079000102,9.924151088254206,0,4038.6026431202063,2001,1070,0.495468402520045,33340
55079000201,11.800947582112611,102,4905.697525757719,2328,962,0.4745502525943901,33340
55079000202,10.546874900352172,267,4880.153114850022,2603,1308,0.5333849038627954,33340
55079000301,10.016615885998833,1761,1249.1981205391521,635,NA,0.5083260930027136,33340
55079000302,9.641974058974025,0,1137.481085791547,1020,NA,0.8967182072220615,33340
55079000303,9.174354707163047,0,972.4987816814075,691,NA,0.7105407359023026,33340
55079000304,9.177478197072684,0,2087.715699287304,1182,NA,0.5661690432291651,33340
55079000400,8.774019569146285,447,1496.7394982884423,1334,904,0.8912706596742193,33340
55079000501,8.452210468683667,0,2513.9762976890033,1453,1018,0.5779688540960725,33340
55079000502,8.398837353554232,0,1116.091191036629,1765,849,1.5814119976707839,33340
55079000600,8.235026032797247,0,2406.7599384661944,2248,379,0.9340358230462442,33340
55079000700,8.864680106072907,10362,2417.4015043534223,1466,808,0.6064362901073432,33340
55079000800,7.55962261659773,0,1878.6929575861777,2088,NA,1.1114109900548883,33340
55079000900,7.807072409234184,31259,2169.8765481890186,1631,733,0.7516556650935899,33340
55079001000,6.133598526944893,0,945.4935141723512,1501,718,1.5875307207304514,33340
55079001100,6.648312720811262,0,1985.6621203560283,1269,542,0.6390815370806736,33340
55079001200,6.9950754362883965,0,754.069805365874,1178,691,1.5621895898993534,33340
55079001300,7.383394898746092,0,1223.7266261581863,1652,NA,1.3499747122331982,33340
55079001400,8.182844706092261,0,691.3435335474926,1024,727,1.481173903147031,33340
55079001500,7.771409639517774,0,920.9046027041293,1325,NA,1.4388026687121462,33340
55079001600,7.414003213699677,0,817.712487995803,1077,NA,1.317088849455761,33340
55079001700,7.081801548211002,0,820.3310363487226,1977,784,2.4100026847692955,33340
55079001800,6.802139413125141,0,609.5818104803592,963,760,1.5797715473844967,33340
55079001900,6.324552721760667,0,607.8334921825724,1185,680,1.9495470638594994,33340
55079002000,5.892872960502005,17008,657.0662083960466,1067,661,1.623885061148763,33340
55079002100,5.546934345456617,0,556.6746823925498,1054,746,1.8933859098279446,33340
55079002200,5.1731055143884275,3717,710.7042550027224,1016,853,1.4295679149917402,33340
55079002300,4.630768184755498,0,1126.8317763876541,1831,514,1.6249098031915077,33340
55079002400,4.945883944983566,0,718.6991076098215,1183,709,1.6460295935726212,33340
55079002500,5.283692134481254,0,344.6325879444652,932,728,2.7043292845834546,33340
55079002600,4.847126274946222,0,435.1246964395192,1288,NA,2.960071010768352,33340
55079002700,5.142266924384404,0,425.82646013416036,908,770,2.1323240451378402,33340
55079002800,5.551466184789104,0,407.7262160709296,894,788,2.1926478228823933,33340
55079002900,5.848067122919088,0,407.1634016597843,818,NA,2.0090214313601313,33340
55079003000,6.347920719976962,0,814.9414244771041,1358,NA,1.6663774342693918,33340
55079003100,5.61626331191374,0,777.5680456718635,1346,781,1.7310382126582615,33340
55079003200,6.172023860305974,0,503.0017560365963,1151,847,2.288262389120284,33340
55079003300,6.799485051994023,0,912.9969658545343,1926,871,2.109536035749395,33340
55079003400,6.808470462571397,0,1282.8939301651437,2628,871,2.0484935957735058,33340
55079003500,5.728128634904613,0,718.5394834395499,1305,NA,1.8161841208128802,33340
55079003600,5.112863879907159,0,627.7686038130529,676,698,1.0768298954327926,33340
55079003700,4.786495726792004,0,391.83767981737276,930,878,2.373431775202051,33340
55079003800,4.398787041058368,0,415.0913462033992,1163,764,2.801792932175747,33340
55079003900,4.051190441580019,0,413.6330741220584,1277,NA,3.0872772993563173,33340
55079004000,4.757915201726579,0,395.60833301795225,1116,1087,2.820971923130237,33340
55079004100,4.325512689030453,0,885.0218324084506,1188,725,1.3423397666552936,33340
55079004200,4.106154698455701,0,428.6531501334898,1471,709,3.4316789682798454,33340
55079004300,3.835577160577941,0,1229.1541930603635,2342,817,1.9053752679872158,33340
55079004400,3.289408783679681,162274,1379.1574276974827,1586,842,1.1499774921618942,33340
55079004500,3.0878833883249075,0,425.4653813095345,839,663,1.9719583234190583,33340
55079004600,3.237652772252379,0,424.0338179223654,1493,NA,3.5209455871119864,33340
55079004700,3.5911235924212592,0,893.0531946707611,1696,675,1.8991029987023995,33340
55079004800,3.601483902465518,0,618.618943203568,1458,690,2.3568628410401233,33340
55079004900,3.9897166873559353,0,613.1431502789648,1807,NA,2.9471094950304186,33340
55079005000,4.423852147738967,0,704.875170417265,2231,924,3.1650994298455917,33340
55079005100,5.256813300686135,0,1511.5439076681578,1540,700,1.018825845671755,33340
55079005200,6.025370589737961,0,426.27293046418794,673,780,1.578800697635526,33340
55079005300,5.783498500340901,0,416.0107548104894,865,917,2.079273167815203,33340
55079005400,6.352455265935822,0,834.9074215485457,1736,613,2.0792724500881206,33340
55079005500,6.816837815892153,0,788.3137922598625,1343,864,1.703636309787269,33340
55079005600,6.279761321389308,0,768.0744383908202,885,NA,1.1522320699203954,33340
55079005700,5.602299650079466,0,490.51639760158355,1060,NA,2.1609879000639918,33340
55079005800,5.013331518445535,0,624.5444168296557,1598,732,2.5586650956097716,33340
55079005900,4.227464176542141,0,530.9950996794989,1680,857,3.1638710056157278,33340
55079006000,3.781385261411099,0,256.94638667386226,1091,NA,4.246021958599433,33340
55079006100,3.471101433396139,0,322.68252744927247,851,NA,2.6372670585139817,33340
55079006200,3.1534716542501986,0,291.41541809270643,983,486,3.3731914612948977,33340
55079006300,3.211978250147498,0,538.2970844710769,874,763,1.6236387400440409,33340
55079006400,2.780752379080821,0,302.5963015962876,892,740,2.947821884452746,33340
55079006500,3.0946203219893125,0,311.45102135675586,944,NA,3.0309741669419097,33340
55079006600,2.5654395243553108,0,581.9721724060705,1001,755,1.7200135117483817,33340
55079006700,2.3164297832744682,0,250.79580621253342,643,NA,2.5638387248592927,33340
55079006800,2.731299662147772,0,374.0972651169893,984,583,2.630331979818883,33340
55079006900,2.6278451442711726,0,312.86601841709427,893,859,2.8542569260734023,33340
55079007000,2.2457802487963594,0,410.38480782983396,1135,742,2.765696922364211,33340
55079007100,2.2548886078415635,0,228.14013127548588,1025,733,4.492852679050502,33340
55079007200,2.5570759314251963,31817,499.649388834171,1640,NA,3.2823016231974234,33340
55079007300,2.7257144648359346,37659,414.6689104490709,1053,928,2.539375326835186,33340
55079007400,3.041867644153636,476790,377.6704364674551,601,NA,1.591334512760545,33340
55079007500,2.5912796206235904,0,428.3125366420753,1106,NA,2.5822265410929184,33340
55079007600,2.1977425300854274,0,356.03599737694304,1867,937,5.243851783962638,33340
55079007700,1.8699809169612998,21023,415.6957509963976,2480,971,5.965901729944533,33340
55079007800,2.2825352700289865,11000,399.3480346153018,1432,1004,3.5858446164120177,33340
55079007900,1.7956160202826117,24150,334.2066680595521,1173,817,3.5098042980727833,33340
55079008000,1.8109267937704887,0,202.23297301747303,911,818,4.504705570052066,33340
55079008100,1.7813280518525385,0,173.85455407234852,644,287,3.70424579002977,33340
55079008400,1.9106880936657438,0,283.0855741920608,355,NA,1.2540377623027463,33340
55079008500,2.0637935320658394,0,247.77718141197147,493,593,1.9896908875571724,33340
55079008600,2.199453501492969,0,187.34251181270506,482,NA,2.5728276798267635,33340
55079008700,2.3593957690784215,0,203.41850465949463,434,458,2.1335325452641554,33340
55079008800,2.5785045420821495,0,301.82786065641193,793,345,2.627325384327982,33340
55079008900,2.8082055527486047,0,373.26642929552753,513,NA,1.3743534369490291,33340
55079009000,2.8918108581355852,0,312.1607255239121,931,NA,2.9824379682532602,33340
55079009100,3.2427794018552265,0,311.74051210627607,811,NA,2.6015226398406646,33340
55079009200,3.5721506996434256,0,252.69820556069138,718,855,2.8413339873422867,33340
55079009300,3.930210189565571,0,354.41846391909746,1077,NA,3.0387807341940434,33340
55079009400,3.7877740893104024,0,374.408009165163,1193,NA,3.186363461241372,33340
55079009500,3.402135212558757,0,314.54090965937377,1030,790,3.2746137890788813,33340
55079009600,2.888689893200944,43754,621.3750056960428,695,826,1.1184872156572907,33340
55079009700,2.321731444566335,0,276.5884784445213,423,705,1.5293478686417745,33340
55079009800,2.563031485147091,0,268.6581449715548,518,834,1.9281008586389414,33340
55079009900,2.245488617696679,0,321.43638796155767,495,NA,1.5399625510326471,33340
55079010600,1.2750140500766356,0,179.21873683021593,528,850,2.9461205303561777,33340
55079010700,1.3194499813703997,25046,364.4681096340123,1499,1145,4.112842688775294,33340
55079010800,1.4744510852387132,0,204.74849485953195,1613,941,7.877957789660927,33340
55079011000,0.8527564987007972,0,172.09803708517163,2638,883,15.328472332862512,33340
55079011100,0.6685826578202309,0,154.4013121332954,904,976,5.854872523489777,33340
55079011200,1.1320738949288829,35020,235.05051559548627,1743,1029,7.41542725649512,33340
55079011300,0.5094884322428973,37538,267.6004964150547,1797,1177,6.715234179583922,33340
55079011400,0.7560927568037252,39102,318.1733381041865,1041,1456,3.2718014846961267,33340
55079012200,2.220176528691875,0,309.16430376241675,753,648,2.4355981296555416,33340
55079012300,2.6356357656868896,0,468.2073073796922,583,619,1.2451749274541262,33340
55079012400,3.3878633375099545,0,822.2112261333154,1256,761,1.5275879969514659,33340
55079012500,3.3902202806046358,0,1134.029596350361,1120,840,0.9876285447967915,33340
55079012600,4.3013260232010415,0,475.97394889052435,1044,866,2.1933973538541784,33340
55079012700,5.238810845422457,0,612.5675152183647,507,1273,0.8276638695397802,33340
55079012800,6.192369062557143,19352,1675.8687391347828,1186,859,0.7076926565336542,33340
